file,sheet,row,column,entity_type,masked_value,confidence
sample_data\contacts.csv,,2,mobile,IN_MOBILE,XXXXXX3210,HIGH
sample_data\contacts.csv,,2,aadhaar_no,AADHAAR,XXXX XXXX 0124,HIGH
sample_data\contacts.csv,,2,pan_no,PAN,XXXXX1234X,HIGH
sample_data\contacts.csv,,3,mobile,IN_MOBILE,XXXXXX2109,HIGH
sample_data\contacts.csv,,3,aadhaar_no,AADHAAR,XXXX XXXX 1238,HIGH
sample_data\contacts.csv,,3,pan_no,PAN,XXXXX5678X,HIGH
sample_data\contacts.csv,,3,pan_no,PAN_MASKED,XYZCA5678F,LOW
sample_data\contacts.csv,,4,mobile,IN_MOBILE,XXXXXX1098,HIGH
sample_data\contacts.csv,,4,aadhaar_no,AADHAAR,XXXX XXXX 2341,HIGH
sample_data\contacts.csv,,4,pan_no,PAN,XXXXX2345X,HIGH
sample_data\contacts.csv,,5,mobile,IN_MOBILE,XXXXXX0987,HIGH
sample_data\contacts.csv,,5,pan_no,PAN,XXXXX6789X,HIGH
sample_data\contacts.csv,,6,mobile,IN_MOBILE,XXXXXX6789,HIGH
sample_data\contacts.csv,,6,aadhaar_no,AADHAAR,XXXX XXXX 3458,HIGH
sample_data\contacts.csv,,7,mobile,IN_MOBILE,XXXXXX3210,HIGH
sample_data\contacts.csv,,7,mobile,IN_MOBILE,XXXXXX2109,HIGH
sample_data\contacts.csv,,7,aadhaar_no,AADHAAR,XXXX XXXX 0124,HIGH
sample_data\contacts.csv,,7,pan_no,PAN,XXXXX1234X,HIGH

# --- SUMMARY ---
# Total findings: 18
# AADHAAR: 5
# IN_MOBILE: 7
# PAN: 5
# PAN_MASKED: 1
# Top files by finding count:
#   18  sample_data\contacts.csv
